,country,city,lat,lng,temp,humidity,cloudiness,wind speed,datetime
93,ZA,Bredasdorp,-34.5322,20.0403,22.0,88,83,2.06,1613085608
94,GF,Grand-Santi,4.25,-54.3833,22.72,96,51,1.41,1613085609
95,NZ,Te Anau,-45.4167,167.7167,14.68,50,11,0.34,1613085288
96,US,Fortuna,40.5982,-124.1573,11.67,100,75,7.2,1613085612
97,AU,Port Macquarie,-31.4333,152.9167,26.67,67,75,0.45,1613085516
98,CL,Taltal,-25.4,-70.4833,20.83,64,0,2.31,1613085614
99,RU,Tiksi,71.6872,128.8694,-22.82,88,66,4.12,1613085066
100,PK,Ormara,25.2088,64.6357,21.86,50,1,2.55,1613085616
101,AU,Collie,-33.3667,116.15,10.0,90,0,3.12,1613085618
102,BR,Amapá,1.0,-52.0,23.28,97,90,1.47,1613085619
103,HK,Hong Kong,22.2855,114.1577,16.11,75,0,3.85,1613085620
104,AR,Concordia,-31.393,-58.0209,27.22,57,20,2.57,1613085621
105,PF,Atuona,-9.8,-139.0333,26.27,74,3,5.1,1613085623
106,RU,Ayan,56.45,138.1667,-8.73,96,100,2.44,1613085625
107,BF,Diapaga,12.0708,1.7889,25.19,15,0,3.16,1613085626
108,BR,Conde,-7.2597,-34.9075,27.0,78,0,4.12,1613085352
109,GF,Cayenne,4.9333,-52.3333,24.0,100,75,2.57,1613085630
110,CA,Yellowknife,62.456,-114.3525,-20.56,77,20,6.17,1613085631
111,SO,Bosaso,11.2842,49.1816,21.82,64,55,0.71,1613085632
112,PE,Lima,-12.0432,-77.0282,26.11,65,0,4.63,1613085485
113,US,Bud,39.447,-86.1758,-6.67,69,100,5.38,1613085635
114,AU,Ulladulla,-35.35,150.4667,24.0,69,0,2.06,1613085636
115,ZA,Port Alfred,-33.5906,26.891,21.11,96,77,3.21,1613085637
116,CN,Linxia Chengguanzhen,35.6003,103.2064,0.46,80,0,0.54,1613085638
117,MN,Khovd,48.0056,91.6419,-14.42,73,0,0.95,1613085639
